CODIGO,CAUSA
1,ACTIVIDAD SÍSMICA
2,ACTIVIDAD VOLCÁNICA
3,ACUMULACIÓN DE AGUA EN EL SUELO
4,AGUAJE
5,AGUAJE/MAREJADA
6,CAMBIOS INTENSOS DE TEMPERATURAS
7,CONDICIONES ATMOSFÉRICAS
8,DESBORDAMIENTO
9,DESBORDAMIENTO DE CUERPOS DE AGUA
10,DESCONOCIDA
11,DETERIORO
12,EROSIÓN
13,FALLA
14,FALLA GEOLÓGICA
15,INESTABILIDAD
16,INUNDACIÓN
17,LIBERACIÓN DE ENERGÍA INTERNA DE LA TIERRA
18,LLUVIAS
19,OLEAJE
20,AGUAJE 
21,OTRA CAUSA
22,PROCESO ERUPTIVO
23,SISMO
24,TECTONISMO (ROCE DE PLACAS TECTÓNICAS Y FALLAS GEOLÓGICAS SUPERFICIALES)
25,TORMENTAS ELÉCTRICAS
26,VENDAVAL
27,VIENTOS FUERTES
